"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.758823292E0,-2.473949341E0,8.733407146E-1,1.257406304E0,2.909333250E0
1.768834292E0,-2.862347425E0,9.273233789E-1,1.040149498E0,3.183531437E0
1.778846292E0,-4.094494927E0,6.362881601E-1,5.812373556E-2,4.144047502E0
1.788858292E0,-5.165528541E0,3.348384655E-1,-1.294993376E0,5.335898213E0
1.798870292E0,-5.815986843E0,-8.138096273E-2,-1.870181640E0,6.109820389E0
1.808882292E0,-5.421957598E0,-1.599961925E-1,-1.892245524E0,5.744894786E0
1.818893292E0,-5.224815214E0,-2.499398178E-1,-1.255061570E0,5.379251201E0
1.828905292E0,-5.801351262E0,-5.441301942E-1,-2.432406628E-1,5.831888215E0
1.838917292E0,-7.221077442E0,-1.148166867E0,5.097134829E-2,7.311965855E0
1.848929292E0,-8.168198909E0,-2.893568925E0,-2.352718434E0,8.979281629E0
1.858941292E0,-8.531184701E0,-3.261099173E0,-5.406916806E0,1.061370009E1
1.868952292E0,-7.148794162E0,-3.056315648E0,-7.426935686E0,1.075200897E1
1.878964292E0,-5.078354741E0,-3.167186458E0,-6.086480209E0,8.536158285E0
1.888976292E0,-4.016856767E0,-2.618239328E0,-3.794245665E0,6.114459553E0
1.898988292E0,-4.569000862E0,-3.050054449E0,-6.640450097E0,8.618246836E0
1.909000292E0,-3.311521468E0,-2.555343753E0,-4.198747566E0,5.926671684E0
1.919011292E0,-4.605138409E-1,-8.317722738E-1,-8.961925104E-1,1.306552383E0
1.929023292E0,2.350791192E-1,-4.672059792E-1,-2.747439989E-1,5.907858193E-1
1.939035292E0,1.824283921E0,-8.569445372E-1,3.330928962E0,3.893257442E0
1.949047292E0,3.244798598E0,-1.333213701E0,3.986717878E0,5.310376272E0
1.959059292E0,2.216693487E0,-2.303881320E0,5.644238332E-1,3.246563324E0
1.969070292E0,2.067245672E0,-3.511062965E0,1.058813810E-2,4.074454555E0
1.979082292E0,4.144295662E0,-3.320305156E0,3.417145572E0,6.314783981E0
1.989094292E0,6.196191516E0,-2.289805318E0,7.034931332E0,9.650194637E0
1.999106292E0,7.051481876E0,-1.467154115E0,1.136593941E1,1.345587294E1
2.009118292E0,8.818051440E0,5.899402052E-1,1.339430110E1,1.604722289E1
2.019129292E0,3.056915280E0,-1.962657695E0,7.756843779E0,8.565359401E0
2.029141292E0,-1.513664331E0,-3.505079509E0,3.897620637E0,5.456024991E0
2.039153292E0,-1.664106465E0,-3.894348536E0,3.097917710E0,5.247122543E0
2.049165292E0,-1.065463264E0,-2.871578717E0,1.720488242E0,3.513012394E0
2.059177292E0,-2.253701100E-1,-5.738328803E-1,3.184401246E0,3.243530045E0
2.069188292E0,1.717210293E-1,9.607489872E-1,3.457796292E0,3.592893253E0
2.079200292E0,8.412257597E-1,2.033652833E0,2.303759990E0,3.186018631E0
2.089212292E0,9.057959774E-1,3.517123019E0,2.075754540E0,4.183225740E0
2.099224292E0,7.949260443E-1,4.142465191E0,1.650008536E0,4.529288404E0
2.109236292E0,7.712696716E-1,4.679573464E0,1.229573557E0,4.899501592E0
2.119247292E0,7.169043070E-1,5.333267031E0,1.903148827E-1,5.384599221E0
2.129259292E0,-5.935280567E-1,5.933103649E0,3.247777462E-2,5.962805487E0
2.139271292E0,-1.806631762E0,6.170365534E0,4.488161936E-1,6.445057418E0
2.149283292E0,-4.256521565E-1,5.429143826E0,1.220001958E0,5.580787330E0
2.159295917E0,2.127891823E0,4.747456130E0,1.723513591E0,5.480580482E0
2.169306917E0,3.119112990E0,4.513753445E0,1.526060720E0,5.694883434E0
2.179318917E0,3.783428609E0,4.603125213E0,1.459915555E0,6.134692102E0
2.189330917E0,4.185118291E0,4.813074169E0,1.608915181E0,6.577956075E0
2.199342917E0,4.294488705E0,5.201709357E0,1.746357201E0,6.967795702E0
2.209354917E0,3.376300431E0,4.787149369E0,1.296576802E0,5.999776253E0
2.219365917E0,2.198795745E0,4.073927053E0,1.555414620E0,4.883738220E0
2.229377917E0,1.774289643E0,3.022856126E0,1.385579902E0,3.769030984E0
2.239389917E0,1.256071969E0,2.432190281E0,2.113771382E-1,2.745532125E0
2.249401917E0,3.936912757E-1,1.948190514E0,-8.426258755E-1,2.158809270E0
2.259413917E0,-1.629022586E-1,1.517017416E0,-1.466241073E0,2.116067549E0
2.269424917E0,-1.866057014E-1,1.366944534E0,-1.366035292E0,1.941497222E0
2.279436917E0,1.540419728E-1,1.569911914E0,-8.124524885E-1,1.774381975E0
2.289448917E0,-1.433684653E-1,1.623483519E0,-4.182004648E-1,1.682600631E0
2.299460917E0,-6.214894420E-1,1.626281412E0,8.481737137E-2,1.743053167E0
2.309472917E0,-1.822005846E0,1.380522353E0,8.032147649E-1,2.422952998E0
2.319483917E0,-2.661907504E0,1.451504627E0,6.138488853E-1,3.093449158E0
2.329495917E0,-3.251067690E0,8.372920454E-1,-1.702507469E-1,3.361470573E0
2.339507917E0,-3.961307926E0,2.184777045E-1,-4.469281277E-1,3.992422540E0
2.349519917E0,-4.002927237E0,-5.087136090E-2,-4.314245278E-1,4.026430365E0
2.359531917E0,-3.781199065E0,-6.195154220E-1,-4.840284187E-1,3.862065411E0
2.369542917E0,-3.205091034E0,-1.696271414E0,-3.673899150E-1,3.644848501E0
2.379554917E0,-2.855544482E0,-3.124390102E0,-3.231668383E-1,4.245042356E0
2.389566917E0,-2.266712324E0,-4.042752623E0,-2.015225333E-1,4.639228908E0
2.399578917E0,-1.466407426E0,-4.611726467E0,-1.878260154E-1,4.842896897E0
2.409590917E0,-1.151587488E0,-4.765141034E0,-1.787096214E0,5.217895715E0
2.419601917E0,-1.680486855E0,-4.254662150E0,-6.533175910E0,7.975498326E0
2.429613917E0,-2.785881339E0,-4.664705749E0,-9.566179293E0,1.100147267E1
2.439625917E0,-4.090255403E0,-4.664974136E0,-6.424828758E0,8.931438715E0
2.449637917E0,-4.514942769E0,-3.737309865E0,-2.474101954E0,6.361868728E0
2.459649917E0,-2.788509663E0,-2.874226336E0,-3.750369036E-1,4.022140705E0
2.469660917E0,-1.059382744E0,-2.330433526E0,2.338517009E0,3.467257421E0
2.479672917E0,7.837198555E-2,-2.151729167E0,2.720684885E0,3.469611912E0
2.489684917E0,1.037010713E0,-2.308257961E0,2.743595445E0,3.732393602E0
2.499696917E0,2.549509985E0,-3.877403305E0,2.425674729E0,5.236234854E0
2.509708917E0,3.495930955E0,-5.000862177E0,-1.203503746E0,6.219210322E0
2.519719917E0,3.683875085E0,-5.319561158E0,-1.946597148E0,6.757063490E0
2.529731917E0,2.911657872E0,-4.820392544E0,-8.772106943E-1,5.699424044E0
2.539743917E0,2.132433648E0,-3.274439011E0,-1.413623733E0,4.155424907E0
2.549755917E0,1.854102674E0,-1.908314842E0,-3.908325720E-1,2.689258701E0
2.559766917E0,1.431539310E0,-1.111893665E0,1.607455716E0,2.422710506E0
2.569778917E0,1.089477779E0,-6.763176137E-1,1.593263354E0,2.045203037E0
2.579790917E0,2.373478974E0,-9.352861172E-1,6.281456199E-1,2.627304603E0
2.589802917E0,1.011411310E0,-8.173910469E-1,1.692225140E-1,1.311379892E0
2.599814917E0,-4.028974244E-1,-1.164413940E0,-8.575479698E-1,1.501191087E0
2.609825917E0,3.225704223E-2,-7.566846693E-1,-1.128307384E0,1.358929637E0
2.619837917E0,4.838401383E-1,6.938423038E-1,-1.447348719E0,1.676405898E0
2.629849917E0,1.005861718E0,1.899858014E0,-3.757043633E-1,2.182285966E0
2.639861917E0,1.150045577E0,3.206081552E0,6.458971819E-1,3.466806444E0
2.649873917E0,1.351971861E0,4.112145039E0,7.501632696E-1,4.393211771E0
2.659884917E0,1.236020990E0,4.850170074E0,1.230957009E0,5.154333399E0
2.669896917E0,7.773466828E-1,4.908011901E0,2.824018049E0,5.715586289E0
2.679908917E0,7.438210872E-1,5.416704460E0,1.042982474E0,5.566126971E0
2.689920917E0,1.057637351E0,5.706239283E0,1.000753005E0,5.889080582E0
2.699932917E0,2.119241452E0,4.938289368E0,2.881697031E0,6.097709734E0
2.709943917E0,3.388538069E0,4.547724014E0,3.180148273E0,6.502101737E0
2.719955917E0,3.998740338E0,3.839518025E0,2.191494619E0,5.961079736E0
2.729967917E0,3.291362315E0,2.601625049E0,9.319157821E-1,4.297672139E0
2.739979917E0,2.064841881E0,1.501343370E0,-3.039663363E-1,2.570991918E0
2.749991917E0,1.180693466E0,7.178188115E-1,-6.343615025E-1,1.520432643E0
2.760002917E0,1.202895344E0,5.382017022E-1,-2.296879864E-1,1.337675166E0
2.770014917E0,1.423328065E0,3.820541471E-1,-1.391321576E-1,1.480265486E0
2.780026917E0,1.173298784E0,-2.294388950E-1,1.601362333E-1,1.206198929E0
2.790038917E0,4.205375969E-1,-4.103885847E-1,2.464984390E-1,6.372065139E-1
2.800050917E0,-8.342558786E-1,-3.099948156E-1,-4.189731744E-1,9.836758498E-1
2.810061917E0,-9.796445569E-1,8.900573194E-2,-5.442870457E-1,1.124221449E0
2.820073917E0,-1.880661313E0,4.773491442E-1,-8.876855426E-1,2.133713852E0
2.830085917E0,-2.928462185E0,8.112163872E-1,-1.179627518E0,3.259675425E0
2.840097917E0,-2.837347070E0,1.508869906E0,-1.203331254E0,3.431505922E0
2.850109917E0,-2.695243065E0,1.992297231E0,-1.514457944E0,3.677929621E0
2.860120917E0,-2.884308105E0,2.100201749E0,-1.628706691E0,3.922086959E0
2.870132917E0,-2.484018247E0,2.359214106E0,-1.899367433E0,3.917120689E0
2.880144917E0,-2.276324269E0,1.539153221E0,-1.877247416E0,3.327867587E0
2.890156917E0,-2.246728003E0,6.428709555E-1,-2.436197670E0,3.375815290E0
2.900168917E0,-1.897782837E0,5.517602259E-1,-3.414935324E0,3.945605443E0
2.910179917E0,-2.072439753E0,9.707372010E-1,-3.559272673E0,4.231519728E0
2.920191917E0,-2.299105314E0,1.289143821E0,-2.920164986E0,3.933845521E0
2.930203917E0,-3.113057029E0,1.255400709E0,-2.545694093E0,4.212803510E0
2.940215917E0,-3.932161310E0,9.447644538E-1,-2.252679591E0,4.629150870E0
2.950226917E0,-3.391604641E0,4.542970812E-1,-1.565329890E0,3.762927789E0
2.960238917E0,-2.424734204E0,-4.818807364E-2,-2.177320676E0,3.259199806E0
