Time (s),x,y,z,total_acceleration,Walking(0)/Jumping(1)
39.50302254,6.967959078,-10.58930053,2.819984348,12.98607143,0
39.51303454,8.043040427,-13.98392964,-0.2223371592,16.13351237,0
39.52304654,8.340495889,-16.45136109,-1.143200827,18.48020729,0
39.53305754,7.806984823,-17.4625353,0.3205399767,19.13091469,0
39.54306954,5.406916806,-16.00247269,1.945450509,17.00290149,0
39.55308154,2.259851786,-12.80439305,3.36139354,13.42975718,0
39.56309254,-0.06572948305,-9.730453894,5.603487332,11.22876323,0
39.57310454,-2.282562664,-7.402594897,8.198696816,11.27950057,0
39.58311654,-4.861812465,-5.499908584,11.26804766,13.44823829,0
39.59312754,-7.355474524,-3.556841986,13.60802852,15.8723839,0
39.60313954,-8.929459024,-1.691904128,13.82369488,16.54364888,0
39.61315054,-8.87361636,0.02910393119,11.39265534,14.44072401,0
39.62316254,-8.195590775,1.670519691,8.878916861,12.19809448,0
39.63317454,-7.635495343,3.629448032,7.807782383,11.50804709,0
39.64318554,-7.241637422,5.493442733,7.133169817,11.55427788,0
39.65319754,-6.827223029,7.097754986,6.849053609,11.99577573,0
39.66320954,-6.466193715,8.370655827,6.272997032,12.29756203,0
39.67322054,-6.215423593,8.856740127,4.039811473,11.54960661,0
39.68323254,-5.495091648,8.700717702,1.512881681,10.40131394,0
39.69324454,-3.397697148,6.93275884,0.2069364703,7.723361557,0
39.70325554,-1.224849884,4.670138397,-0.6765620273,4.875262666,0
39.71326754,0.4872955504,3.485885439,-1.018092046,3.664064091,0
39.72327854,2.261734005,3.052964024,-0.9513852561,3.916779793,0
39.73329054,3.713511112,2.848427836,-1.451557837,4.900074088,0
39.74330254,4.598989185,2.352018523,-1.920779059,5.511087447,0
39.75331354,5.274649864,1.816743937,-1.69140653,5.829523631,0
39.76332554,6.01182062,1.443636614,-0.9632726455,6.257313164,0
39.77333754,6.703962554,1.119150644,-0.1361588484,6.798099096,0
39.78334854,7.046674295,0.891941877,0.9434894684,7.165287943,0
39.79336054,6.902255085,0.7472320604,1.935659931,7.207375415,0
39.80337254,5.158594912,1.141858306,1.788519427,5.577969487,0
39.81338354,1.044371992,1.448414959,0.003779055476,1.785674391,0
39.82339554,-2.396217918,0.2800833839,-1.270020502,2.72640039,0
39.83340654,-4.903641399,-1.058147228,-1.659769585,5.28395776,0
39.84341854,-6.600821178,-2.498956128,-1.495273083,7.214670024,0
39.85343054,-7.686010609,-4.161955715,-1.140608171,8.814625429,0
39.86344154,-8.294243828,-5.648828981,-1.095049006,10.09469573,0
39.87345354,-7.84223944,-6.547593974,-1.14044825,10.27970469,0
39.88346554,-6.827184438,-6.870015292,-1.711260166,9.835444515,0
39.89347654,-4.730347177,-5.80891522,-1.884912238,7.72480256,0
39.90348854,-1.967080236,-3.726864983,-2.047001442,4.684991159,0
39.91349954,0.3786764299,-2.523362406,-2.816224588,3.80024665,0
39.92351154,1.364170614,-2.262958996,-4.142166691,4.913195476,0
39.93352354,1.117453709,-2.865002353,-5.002957234,5.872522658,0
39.94353454,0.2891247142,-3.915544108,-4.526502422,5.992019938,0
39.95354654,-0.4569822688,-4.077627171,-3.429900103,5.347905278,0
39.96355854,-0.9066450662,-2.714241838,-1.759640321,3.359382099,0
